"","untreated_p27","untreated_GAPDH","treated_p27","treated_GAPDH"
"1",10.1208599694703,18.4467354787235,7.53566409545802,17.381896306114
"2",10.1077958623724,17.4925789349954,7.62669417299002,18.5046472790658
"3",10.1183229082548,17.9107112547289,8.00022766721882,18.6323705816343
"4",9.94514293455203,17.3602896827171,8.39779559335619,18.4141968137174
"5",10.7860173585537,17.1137635233441,7.83291953620235,18.2180547488521
"6",8.90717424539566,18.4642997489128,8.39869502973243,17.9391971485696
"7",10.0053190172005,18.2712708962133,7.18157321000512,17.2980545932525
"8",10.0978390975915,18.2381500557894,8.46458921067816,17.7305145763252
"9",10.2126141275741,18.0113527869203,7.96564746901729,18.45974460927
"10",10.8580578554188,18.5283741684324,8.29057012020722,18.3019762925072
